Date,Open,High,Low,Close,Volume
2024-11-30 22:00:00+00:00,96889,108377,92059,97367,15.746300000000987
2024-10-31 21:00:00+00:00,69964,99800,66832,96856,45.03610000000005
2024-09-30 21:00:00+00:00,63819,73604,58922,69965,18.3966
2024-08-31 21:00:00+00:00,59015,66484,52595,63818,26.75799999999997
2024-07-31 21:00:00+00:00,64604,65628,49309,59018,51.653599999999926
2024-06-30 21:00:00+00:00,61950,70038,53563,64604,42.061599999999984
2024-05-31 21:00:00+00:00,67694,71995,58491,61952,29.608300000000007
2024-04-30 21:00:00+00:00,59904,71994,56565,67729,29.767500000000005
2024-03-31 21:00:00+00:00,70890,72777,59154,59989,38.8506
2024-02-29 22:00:00+00:00,61447,73834,59201,70890,109.3823
2024-01-31 22:00:00+00:00,42487,64069,41893,61443,77.25619999999996
2023-12-31 22:00:00+00:00,43713,49022,38549,42487,73.57790000000003
2023-11-30 22:00:00+00:00,37773,44756,37656,42520,5.5722000000000005
2023-10-31 21:00:00+00:00,34680,38472,34141,37782,5.420699999999999
2023-09-30 21:00:00+00:00,27106,35231,26571,34680,5.160099999999997
2023-08-31 21:00:00+00:00,26033,27527,24960,27106,4.4568999999999965
2023-07-31 21:00:00+00:00,29234,30228,25399,26062,3.948300000000005
2023-06-30 21:00:00+00:00,30427,31861,28900,29242,3.415000000000008
2023-05-31 21:00:00+00:00,27149,31449,24795,30427,9.14829999999999
2023-04-30 21:00:00+00:00,29386,29910,25867,27149,5.833600000000003
2023-03-31 21:00:00+00:00,28423,31069,27020,29386,13.705199999999998
2023-02-28 22:00:00+00:00,23160,29209,19613,28423,39.641000000000005
2023-01-31 22:00:00+00:00,22982,25285,21415,23183,13.0024
2022-12-31 22:00:00+00:00,16604,23993,16585,22985,16.528899999999997
2022-11-30 22:00:00+00:00,17135,18403,16316,16658,9.318299999999985
2022-10-31 21:00:00+00:00,20439,21541,15511,17139,17.204199999999997
2022-09-30 21:00:00+00:00,19465,21108,18222,20448,5.212599999999993
2022-08-31 21:00:00+00:00,20225,22814,18209,19465,19.713699999999992
2022-07-31 21:00:00+00:00,23871,25240,19562,20239,46.78839999999997
2022-06-30 21:00:00+00:00,18803,24715,18760,23844,60.07339999999995
2022-05-31 21:00:00+00:00,31840,32013,17643,18780,63.23769999999994
2022-04-30 21:00:00+00:00,38402,40060,25431,31849,45.3087
2022-03-31 21:00:00+00:00,45824,47500,37785,38381,29.26630000000001
2022-02-28 22:00:00+00:00,41748,48254,37220,45814,51.29190000000005
2022-01-31 22:00:00+00:00,38497,45874,34394,41696,44.57299999999998
2021-12-31 22:00:00+00:00,47104,48020,33036,38483,48.3905
2021-11-30 22:00:00+00:00,57146,59143,42518,47537,59.0233999999999
2021-10-31 21:00:00+00:00,61024,69035,53418,57186,63.72040000000001
2021-09-30 21:00:00+00:00,43502,67008,43353,61014,66.78480000000006
2021-08-31 21:00:00+00:00,46995,52965,39676,43500,46.85459999999996
2021-07-31 21:00:00+00:00,41588,50553,37378,47066,38.94329999999999
2021-06-30 21:00:00+00:00,34653,42413,29347,41588,29.51190000000002
2021-05-31 21:00:00+00:00,36733,41343,28874,34633,60.852900000000005
2021-04-30 21:00:00+00:00,56875,59610,30015,36734,63.57419999999999
2021-03-31 21:00:00+00:00,59005,64899,47109,56870,41.99330000000002
2021-02-28 22:00:00+00:00,45304,61819,44921,59005,46.83779999999999
2021-01-31 22:00:00+00:00,32687,58401,32363,45289,54.01450000000005
2020-12-31 22:00:00+00:00,29275,42019,27952,32635,938003.424
2020-11-30 22:00:00+00:00,19403,29326,17613,29020,98.25709999999997
2020-10-31 21:00:00+00:00,13873,19885,13240,19403,61.84369999999999
2020-09-30 21:00:00+00:00,10732,14095,10405,13872,28.827700000000014
2020-08-31 21:00:00+00:00,11733,12117,9877,10732,42.16930000000001
2020-07-31 21:00:00+00:00,11684,12528,11012,11738,37.70959999999996
2020-06-30 21:00:00+00:00,9205,11511,8985,11380,1233.3644999999972
2020-05-31 21:00:00+00:00,9565,10440,8958,9205,5981.818399999998
2020-04-30 21:00:00+00:00,8883,10129,8254,9477,11336.6809
