Date,Open,High,Low,Close,Volume
2024-12-08 22:00:00+00:00,100025,103389,94229,102777,2.5545000000002003
2024-12-01 22:00:00+00:00,97766,103627,91984,100026,3.414200000000309
2024-11-24 22:00:00+00:00,96989,98943,90698,97765,4.524700000000061
2024-11-17 22:00:00+00:00,89074,99751,88658,96987,5.534799999999999
2024-11-10 22:00:00+00:00,79863,93438,79773,89076,5.333999999999996
2024-11-03 22:00:00+00:00,69055,81046,66794,79862,4.4104
2024-10-27 21:00:00+00:00,67615,73572,67436,69046,2.654
2024-10-20 21:00:00+00:00,68698,69487,65120,67702,1.951499999999999
2024-10-13 21:00:00+00:00,62684,68965,62421,68735,1.8382
2024-10-06 21:00:00+00:00,62553,64430,58903,62726,2.3387
2024-09-29 21:00:00+00:00,65764,65922,59827,62588,2.7337
2024-09-22 21:00:00+00:00,63153,66435,62354,65782,2.3523
2024-09-15 21:00:00+00:00,59739,64100,57476,63178,2.7644000000000006
2024-09-08 21:00:00+00:00,54311,60605,54257,59764,2.484900000000001
2024-09-01 21:00:00+00:00,58357,59774,52467,54344,3.2971999999999992
2024-08-25 21:00:00+00:00,64182,64988,57200,58391,2.926
2024-08-18 21:00:00+00:00,59753,64922,57796,64178,3.7244000000000015
2024-08-11 21:00:00+00:00,58449,61727,56109,59785,7.0404
2024-08-04 21:00:00+00:00,59062,62666,49050,58482,7.569299999999998
2024-07-28 21:00:00+00:00,67937,69995,57145,59108,3.324
2024-07-21 21:00:00+00:00,67677,69353,63425,67973,3.336999999999999
2024-07-14 21:00:00+00:00,60048,68173,59981,67707,5.516199999999999
2024-07-07 21:00:00+00:00,57196,60366,54262,60053,6.969100000000003
2024-06-30 21:00:00+00:00,61892,63813,53509,57229,4.593799999999999
2024-06-23 21:00:00+00:00,63649,63753,58444,61892,4.820400000000001
2024-06-16 21:00:00+00:00,66399,67259,63351,63679,5.061800000000002
2024-06-09 21:00:00+00:00,69617,70142,65034,66462,6.645599999999998
2024-06-02 21:00:00+00:00,67739,71913,67571,69643,5.079599999999999
2024-05-26 21:00:00+00:00,68616,70625,66611,67791,5.360099999999996
2024-05-19 21:00:00+00:00,66092,71923,65935,68674,6.029800000000001
2024-05-12 21:00:00+00:00,61192,67667,60739,66125,4.7849
2024-05-05 21:00:00+00:00,63737,65479,60180,61255,4.001100000000001
2024-04-28 21:00:00+00:00,63598,64694,56512,63737,5.566199999999997
2024-04-21 21:00:00+00:00,64593,67201,62326,63644,5.696100000000002
2024-04-14 21:00:00+00:00,63817,66813,59589,64592,8.2778
2024-04-07 21:00:00+00:00,69256,72727,60833,63818,7.122600000000001
2024-03-31 21:00:00+00:00,70801,71328,64463,69265,9.6128
2024-03-24 21:00:00+00:00,66111,71712,66110,70801,7.840599999999995
2024-03-17 21:00:00+00:00,68224,68889,60742,66111,21.3043
2024-03-10 21:00:00+00:00,69370,73758,64497,68224,31.503299999999985
2024-03-03 22:00:00+00:00,62792,69989,59112,69366,38.6359
2024-02-25 22:00:00+00:00,51717,63994,50876,62792,31.72669999999998
2024-02-18 22:00:00+00:00,51819,52946,50461,51728,17.586999999999982
2024-02-11 22:00:00+00:00,48098,52807,47685,51826,20.617999999999995
2024-02-04 22:00:00+00:00,42718,48554,42189,48098,6.6557
2024-01-28 22:00:00+00:00,41906,43822,41587,42735,3.982800000000001
2024-01-21 22:00:00+00:00,41734,42789,38480,41942,5.332799999999999
2024-01-14 22:00:00+00:00,42454,43529,40234,41734,5.4602
2024-01-07 22:00:00+00:00,44192,48946,41387,42496,20.53309999999999
2023-12-31 22:00:00+00:00,43712,45865,40834,44205,3.6759
2023-12-24 22:00:00+00:00,43473,43756,41249,42448,0.8840000000000001
2023-12-17 22:00:00+00:00,41877,44362,40493,43473,4.352799999999997
2023-12-10 22:00:00+00:00,43765,43834,40147,41877,2.4511999999999974
2023-12-03 22:00:00+00:00,39686,44676,39641,43765,1.4535000000000005
2023-11-26 22:00:00+00:00,37583,39802,36687,39686,1.5675000000000003
2023-11-19 22:00:00+00:00,36961,38381,35609,37583,4.048500000000001
2023-11-12 22:00:00+00:00,37135,37923,34790,36961,1.5465999999999998
2023-11-05 22:00:00+00:00,34617,37934,34495,37135,5.757099999999997
2023-10-29 21:00:00+00:00,34545,35914,34018,34622,1.4078999999999993
2023-10-22 21:00:00+00:00,29798,35180,29687,34544,3.479300000000001
2023-10-15 21:00:00+00:00,27142,30304,27011,29814,5.402999999999999
2023-10-08 21:00:00+00:00,27862,27960,26499,27163,3.722899999999997
2023-10-01 21:00:00+00:00,27050,28553,27038,27872,4.470699999999998
2023-09-24 21:00:00+00:00,26440,27266,25961,27072,4.773899999999998
2023-09-17 21:00:00+00:00,26403,27450,26316,26462,4.865799999999999
2023-09-10 21:00:00+00:00,25781,26825,24889,26403,6.662199999999999
2023-09-03 21:00:00+00:00,26007,26401,25375,25781,6.2425000000000015
2023-08-27 21:00:00+00:00,26055,28107,25301,26007,1.6094999999999997
2023-08-20 21:00:00+00:00,26204,26777,25339,26055,0.4742999999999997
2023-08-13 21:00:00+00:00,29334,29623,25357,26199,2.227599999999998
2023-08-06 21:00:00+00:00,29028,30178,28646,29381,5.3809000000000005
2023-07-30 21:00:00+00:00,29235,30002,28549,29086,3.3796999999999997
2023-07-23 21:00:00+00:00,30114,30114,28841,29235,0.4027999999999999
