ACTIVE,NAME,MARGIN,MIN_SIZE,CONTRACT_SIZE,TICK_VALUE,SWAP_LONG,SWAP_SHORT,ELIMINATED,COMISSION_PER_ORDER,SECTOR
IWN,iShares Russell 2000 Value ETF,20.00%,1.00,1 IWN,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
IWO,iShares Russell 2000 Growth ET,20.00%,1.00,1 IWO,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
IWS,iShares Russell Mid-Cap Value,20.00%,1.00,1 IWS,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
IYR,iShares U.S. Real Estate ETF,20.00%,1.00,1 IYR,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
IYW,iShares US Technology ETF,20.00%,1.00,1 IYW,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
KRE,SPDR S&P Regional Banking ETF,100.00%,1.00,1 KRE,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
MCHI,iShares MSCI China ETF,20.00%,1.00,1 MCHI,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
MDY,SPDR S&P MidCap 400 ETF Trust,20.00%,1.00,1 MDY,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
MTUM,iShares MSCI USA Momentum Fact,20.00%,1.00,1 MTUM,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
OEF,iShares S&P 100 ETF,20.00%,1.00,1 OEF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
PFF,iShares Preferred & Income Sec,20.00%,1.00,1 PFF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
QQQ,Invesco QQQ Trust Series 1,20.00%,1.00,1 QQQ,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
QUAL,iShares MSCI USA Quality Facto,20.00%,1.00,1 QUAL,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
RSP,Invesco S&P 500 Equal Weight E,20.00%,1.00,1 RSP,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SCHB,Schwab US Broad Market ETF,20.00%,1.00,1 SCHB,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SCHD,Schwab US Dividend Equity ETF,20.00%,1.00,1 SCHD,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SCHF,Schwab International Equity ET,20.00%,1.00,1 SCHF,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
SCHG,Schwab U.S. Large-Cap Growth E,20.00%,1.00,1 SCHG,0.01 USD,-0.02%,0.01%,1 day/s,0.02 USD,Yes
