         130955 function calls (129194 primitive calls) in 33.150 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   32.636   32.636 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\performance\system_monitor.py:92(stop)
        3    0.000    0.000    0.000    0.000 {built-in method nt.lstat}
       18    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\numpy\core\numeric.py:274(full)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:649(_simple_new)
        2    0.000    0.000    0.003    0.002 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\frame.py:694(__init__)
      128    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       36    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       12    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:179(Process)
       24    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:85(add)
       10    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_common.py:437(wrapper)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\arrays\datetimes.py:2184(_sequence_to_dt64)
       64    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       71    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\arrays\datetimes.py:329(_from_sequence_not_strict)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       26    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
        1    0.000    0.000    0.001    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:952(__init__)
     11/6    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       10    0.000    0.000    0.000    0.000 {built-in method psutil_windows.proc_memory_info}
       12    0.000    0.000    0.575    0.048 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:142(join)
       12    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\synchronize.py:50(__init__)
     11/6    0.000    0.000    0.013    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
        1    0.000    0.000    0.002    0.002 C:\Users\spinz\anaconda3\Lib\site-packages\zstandard\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\arrays\datetimelike.py:2399(_is_dates_only)
        9    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
        3    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:842(_engine)
       11    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:124(RLock)
        7    0.000    0.000   63.836    9.119 C:\Users\spinz\anaconda3\Lib\threading.py:1117(join)
        5    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:7770(get_values_for_csv)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:5323(__contains__)
      120    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:366(get_spawning_popen)
        7    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\generic.py:278(__init__)
        3    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       24    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\queues.py:377(__getstate__)
       24    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\popen_spawn_win32.py:99(duplicate_for_child)
        8    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:180(blknos)
        1    0.000    0.000    0.001    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:423(dict_to_mgr)
        7    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\random.py:454(choices)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\base.py:836(__iter__)
       69    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:112(__format__)
        7    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:277(__init__)
      128    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:206(py2_strencode)
       13    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\util.py:208(__call__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\frame.py:5993(set_index)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\generic.py:4361(_slice)
        1    0.000    0.000    0.001    0.001 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\modules\logger_config.py:25(setup_logger)
       69    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:108(__init__)
        1    0.000    0.000    0.005    0.005 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\common.py:664(get_handle)
      9/6    0.000    0.000    0.007    0.001 {built-in method builtins.exec}
        4    0.000    0.000    0.001    0.000 <frozen os>:200(makedirs)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\_monitor.py:47(get_instances)
        3    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:552(Pipe)
       12    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       78    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
       10    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:838(memory_info)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\missing.py:305(_isna_string_dtype)
       13    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
       12    0.000    0.000    0.000    0.000 {built-in method msvcrt.open_osfhandle}
       31    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       12    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
      171    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:143(_check_writable)
        1    0.000    0.000   31.786   31.786 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:659(join)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\generic.py:6236(__finalize__)
       14    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:53(_commit_removals)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\ctypes\__init__.py:396(__getitem__)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:37(__init__)
       14    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:27(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:680(_terminate_pool)
       78    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
       20    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:685(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\formats\csvs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:173(Pool)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\util\version\__init__.py:339(__init__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       36    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      9/6    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap_external>:989(exec_module)
       60    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\popen_spawn_win32.py:70(<genexpr>)
       24    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:94(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:506(_handle_workers)
       11    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\generic.py:6301(__setattr__)
      2/1    0.000    0.000   32.737   32.737 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\main.py:103(main)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1434(idelete)
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\arrays\datetimes.py:304(_simple_new)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       48    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:372(assert_spawning)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexers\utils.py:239(maybe_convert_indices)
       69    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:167(colour)
       72    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:2246(_stack_arrays)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:588(__init__)
        1    0.000    0.000    0.001    0.001 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\modules\historical_data_downloader.py:55(extract_credentials)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:839(_newname)
    20/16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\missing.py:261(_isna_array)
        9    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\construction.py:481(ensure_wrapped_if_datetimelike)
       24    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\reduction.py:71(duplicate)
       40    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\cast.py:1580(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\utils.py:297(_screen_shape_windows)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        2    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:317(apply)
       12    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\subprocess.py:290(_optim_args_from_interpreter_flags)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:182(send_bytes)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\queues.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       20    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\numpy\core\_asarray.py:27(require)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:120(update)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:5373(__getitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:183(__init__)
    26/12    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1012(iget)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
   100/17    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\synchronize.py:94(__enter__)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:95(copy)
        7    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\base.py:7593(ensure_index)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:596(_homogenize)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:616(set)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:425(imap_unordered)
        7    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\tempfile.py:153(__next__)
       32    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:915(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\queues.py:391(put)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       14    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:21(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\formats\format.py:425(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\pool.py:839(__init__)
       69    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:163(colour)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\urllib\parse.py:452(urlsplit)
       96    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\connection.py:159(readable)
        1    0.000    0.000    0.006    0.006 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\formats\csvs.py:246(save)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\arrays\_mixins.py:278(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:2121(create_block_manager_from_column_arrays)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1108(_delete)
        1    0.000    0.000    0.002    0.002 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:928(_finalize_columns_and_data)
        1    0.000    0.000    0.008    0.008 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\generic.py:3797(to_csv)
        3    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:65(Lock)
       10    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_pswindows.py:937(create_time)
        3    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:1772(_consolidate_check)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\spawn.py:1(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\compat\_optional.py:85(import_optional_dependency)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1045(_set_tstate_lock)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
       34    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\datetimes.py:320(__new__)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\synchronize.py:1(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\spinz\anaconda3\Lib\multiprocessing\popen_spawn_win32.py:1(<module>)
        3    0.000    0.000    0.003    0.001 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:110(SimpleQueue)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\common.py:304(_get_filepath_or_buffer)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\queues.py:385(get)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:70(RLock)
       12    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\context.py:253(get_start_method)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:760(get_lock)
       12    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\spawn.py:138(_check_not_importing_main)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\managers.py:708(_slice_take_blocks_ax0)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\_config\config.py:145(_get_option)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:1286(fp_write)
       36    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
       11    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\_distutils_hack\__init__.py:102(find_spec)
        2    0.000    0.000    0.001    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:96(arrays_to_mgr)
       60    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\memory_profiler.py:1215(<genexpr>)
        1    0.000    0.000    0.004    0.004 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\common.py:1186(_get_binary_io_classes)
        7    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\tempfile.py:142(rng)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\logging\__init__.py:1465(_clear_cache)
       10    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:711(create_time)
        1    0.000    0.000    0.008    0.008 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\performance\system_monitor.py:34(__init__)
        3    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:679(_get_free_pos)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\std.py:686(_decr_instances)
        1    0.000    0.000    0.001    0.001 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\formats\csvs.py:305(_save_body)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\frame.py:4062(__getitem__)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\base.py:82(shape)
        3    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\tempfile.py:400(mktemp)
       40    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000   31.896   31.896 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\modules\historical_data_downloader.py:131(process_all_brokers)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\formats\csvs.py:59(__init__)
      2/1    0.000    0.000    0.004    0.004 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\performance\system_monitor.py:84(start)
        1    0.000    0.000    0.002    0.002 C:\Users\spinz\anaconda3\Lib\site-packages\tqdm\_monitor.py:30(__init__)
        1    0.000    0.000    0.013    0.013 c:\Users\spinz\OneDrive\Documentos\Portafolio oficial\HERMESDB\HERMESDB\test\src\ETLQ\Extract\modules\Extraction\Extraction_Data_Metatrader5\modules\mt5_connection.py:39(initialize)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:638(_extract_index)
        1    0.000    0.000    0.007    0.007 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\formats\format.py:965(to_csv)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\common.py:248(stringify_path)
        2    0.000    0.000    0.004    0.002 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\io\common.py:1165(_is_binary_mode)
       12    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\process.py:153(is_alive)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\random.py:135(seed)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\queues.py:35(Queue)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\indexes\range.py:201(_simple_new)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1038(_set_ident)
       10    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\__init__.py:331(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1331(is_ea_or_datetimelike_dtype)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\internals\construction.py:532(treat_as_nested)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\frame.py:4626(_get_item_cache)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\multiprocessing\synchronize.py:121(_make_name)
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\_config\config.py:635(_get_root)
        1    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\generic.py:6662(copy)
        3    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\core\dtypes\common.py:1198(is_bool_dtype)
        2    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\psutil\_common.py:620(_add_dict)
       36    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       13    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1236(daemon)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1356(_make_invoke_excepthook)
        3    0.000    0.000    0.002    0.001 C:\Users\spinz\anaconda3\Lib\multiprocessing\queues.py:361(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       16    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\_weakrefset.py:39(_remove)
        5    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:424(notify_all)
        4    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\threading.py:1251(daemon)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x00000233ADE41260}
        6    0.000    0.000    0.000    0.000 C:\Users\spinz\anaconda3\Lib\site-packages\pandas\_config\config.py:127(_get_single_key)
