MARGIN,MIN_SIZE,CONTRACT_SIZE,PIP_VALUE,SWAP_LONG,SWAP_SHORT,COMISSION_PER_ORDEN,TICK_VALUE,archivo
20.00%,1.0,1 MTUM,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 OEF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 PFF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 QQQ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 QUAL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 RSP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SCHB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SCHD,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SCHF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SCHG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SCHV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SCZ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SKYY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SLV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SMH,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SOXX,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SPDW,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SPLV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SPY,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SPYG,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 SPYV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 TIP,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 TLT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 USMV,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VDE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VEA,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VGT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VHT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VLUE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VNQ,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VOE,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VPL,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VT,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VTI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VWO,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VXF,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 VXUS,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XBI,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLB,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
20.00%,1.0,1 XLC,0.01 USD,-0.02%,0.01%,,0.01 USD,operative_costs_ETFs.csv
